Acesso: <sqlite3.Connection object at 0x000001C8824A1120> - 2025-06-12T08:12:15.758764
Acesso: <sqlite3.Connection object at 0x000001C8824A13F0> - 2025-06-12T08:12:37.339011
Acesso: <sqlite3.Connection object at 0x000001C8824A1990> - 2025-06-12T08:12:37.350144
Acesso: <sqlite3.Connection object at 0x000001C8824A1A80> - 2025-06-12T08:12:37.352086
Acesso: <sqlite3.Cursor object at 0x00000207FC4F79C0> - 2025-06-12T08:12:49.508717
[2025-06-12T10:26:38.570975] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:26:42.770261] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:26:43.420473] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:26:44.550831] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:26:45.096001] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:26:45.969616] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:26:47.458329] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:26:48.153753] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:26:49.449900] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:27:04.468517] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=64 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:27:04.480089] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
